category_no,category_name,parent_category_no
112197,カード・トレーディングカード,101165
112203,フィギュア,101164
112203,フィギュア,101165
112210,ライター,101168
112327,カレンダー,101182
112333,ポスター,101182
112173,アニメグッズ,101347
112362,写真集,101182
113066,ブレスレット,100486
113074,ブローチ,100486
112816,その他,100863
112417,音楽・エンタメ雑誌,101311
113053,セット,100698
113053,セット,100698
112849,その他,100944
112567,南米,101394
112571,オセアニア,101394
112941,その他,101182
113007,その他,101383
113011,その他,101384
113010,その他,101394
113009,その他,101401
113008,その他,101411
215783,日用品雑貨・文房具・手芸,0
0,,215783
216129,ジュエリー・アクセサリー,0
216131,バッグ・小物・ブランド雑貨,0
110093,インクジェットプリンタ,110080
110099,プリンタ周辺機器,110080
110307,ニコン,110305
110310,オリンパス,110305
110312,富士フイルム,110305
110345,富士フイルム,110344
110347,コダック,110344
110348,ポラロイド,110344
110366,芸能人・タレント,110365
110367,スポーツ,110365
110367,スポーツ,110365
110368,格闘技,110365
110369,アニメ・コミック,110365
110370,キャラクター,110365
110403,ブリ,110395
110407,アワビ,110406
110408,カキ,110406
110409,ホタテ,110406
110410,サザエ,110406
110429,ヒレ,110428
110430,サーロイン,110428
110432,バラ,110428
110433,スネ,110428
110434,モモ,110428
110435,タン,110428
110436,テール,110428
110464,たくあん漬け,110463
110465,しょうゆ漬け,110463
110466,かす漬け,110463
110467,みそ漬け,110463
110468,酢漬け,110463
110469,浅漬け,110463
110474,お粥,110472
110475,餅,110472
110478,いちご,110477
110479,りんご,110477
110480,ブルーベリー,110477
110481,マーマレード,110477
110488,みそ,110487
110489,しょうゆ,110487
110490,とんこつ,110487
110496,パスタソース,110494
110505,ウォッシュ,110502
110506,シェーブル,110502
110510,ロングライフ,110502
110612,その他,110609
110627,キリン,110626
110628,アサヒ,110626
110629,サッポロ,110626
110630,サントリー,110626
110631,オリオン,110626
110638,アメリカ,110636
110639,アフリカ,110636
110640,オセアニア,110636
110643,北海道,110642
110644,東北,110642
110645,関東,110642
110646,中部,110642
110647,北陸,110642
110648,近畿,110642
110649,中国,110642
110650,四国,110642
110651,九州,110642
110666,そば焼酎,110662
110693,りんご,110692
110694,オレンジ,110692
110695,グレープ,110692
110696,ざくろ,110692
110805,ウエア,110804
110805,ウエア,110804
110806,ウエア,110804
110934,ハンドバッグ,110933
110942,ショルダーバッグ,110933
110950,トートバッグ,110933
110958,セカンドバッグ・ポーチ,110933
110966,リュック・デイパック,110933
110959,ルイ・ヴィトン,110958
110960,プラダ,110958
110961,グッチ,110958
110962,エルメス,110958
110963,シャネル,110958
110964,フェンディ,110958
110965,コーチ,110958
110967,ルイ・ヴィトン,110966
110968,プラダ,110966
110969,グッチ,110966
110970,エルメス,110966
110971,シャネル,110966
110972,フェンディ,110966
110973,コーチ,110966
110976,リュック・デイパック,110974
110977,OUTDOOR,110976
110979,L.L.Bean,110976
111022,ルビー,111029
111024,エメラルド,111029
111025,アメジスト,111029
111028,トパーズ,111029
111050,ルビー,111048
111052,トパーズ,111048
111053,ダイヤモンド,111048
111060,アメジスト,111048
111063,ルビー,111061
111065,トパーズ,111061
111066,ダイヤモンド,111061
111072,エメラルド,111061
111073,アメジスト,111061
111102,ベビー,111102
111103,ベビー服・洋品,111102
111145,付箋紙,111142
111177,スタンプ,111173
111177,スタンプ,111173
111178,朱肉,111173
111178,朱肉,111173
111179,印鑑ケース,111173
111179,印鑑ケース,111173
111198,文房具,111197
111199,文房具,111197
111199,文房具,111197
111200,文房具,111197
111201,文房具,111197
111202,文房具,111197
111222,ハンマー,111215
112598,その他,110001
112600,その他,110013
112600,その他,110013
112603,その他,110042
112611,その他,110080
112614,その他,110093
112617,その他,110105
111378,木製フレーム,111377
111379,金属製フレーム,111377
111380,ガラス・クリスタル製フレーム,111377
111391,シルバー製,111388
111392,ステンレス製,111388
112640,その他,110247
111477,洗面器,111475
111477,洗面器,111475
112648,その他,110305
112654,その他,110344
112657,その他,110365
