name,value,mySubCategoryFlg
运动连衣裙,50041700,0
内衣内裤,50456017,0
运动半身裙,50016803,0
运动单/双肩背包,50071130,0
运动配件,50432018,0
运动鼓包/旅行包,50071134,0
男装,50426024,0
保暖上装,50436022,0
女装,50404023,0
保暖下装,50436023,0
童装/青少年服装,50438002,0
保暖套装,50454022,0
保暖配件,50438019,0
运动包/户外包/配件,50484015,1
户外运动用品,2203,1
户外服装,50031727,0
冲锋衣裤/套装,50456025,0
抓绒衣裤/套装,50444030,0
军迷服/套装,50452043,0
羽绒衣裤/套装,50446025,0
休闲衣裤/套装,50456022,0
速干衣裤/套装,50450017,0
风雪/雨衣,50430039,0
保暖服(内胆),50436025,0
内衣/内裤,50446030,0
滑雪服/套装,50446024,0
户外鞋,50031728,0
登山/徒步鞋,50452024,0
徒步鞋(低帮),50452025,0
雪地靴/保暖鞋,50432029,0
休闲鞋,50454015,0
越野跑步鞋,50442027,0
工装鞋/靴,50430024,0
溯溪鞋/两栖鞋,50438023,0
钓鱼用品,50100136,0
鱼竿,50450022,0
鱼饵,50430042,0
浮漂,50446032,0
渔轮,50448028,0
鱼线,50436027,0
路亚,50438024,0
鱼钩,50450024,0
登山包/双肩包,50432013,0
户外箱包,50031729,0
垂钓/渔具包,50430040,0
腰包/胸包,50444032,0
休闲包/挎包,50430025,0
洗漱/盥洗包,50436026,0
骑行包/机车包,50440024,0
帽子/头套,50033256,0
防护/保暖手套,50033257,0
围巾/围脖,50033259,0
头巾/护耳,50033258,0
腰带/皮带,50040982,0
其他配饰,50033263,0
贴章/臂章,50040983,0
鞋带/鞋垫,50033262,0
刀具工具,50031744,0
户外照明,50031742,0
户外帐篷,50031730,0
户外手表,50032264,0
望远镜,50031737,0
野炊用品,50031735,0
户外水具,50031734,0
户外眼镜,50032306,0
睡袋,50031731,0
辅助用品,50450032,0
登山杖,50031740,0
户外垫子,50031732,0
户外家具,50032365,0
户外通讯,50031738,0
户外食品,50035841,0
军迷用品,50100797,0
军迷鞋,50430043,0
军迷服装,50444038,0
军迷配饰,50430044,0
军迷包袋,50442033,0
船只舰艇,50032666,0
潜水用品,50032667,0
攀岩攀冰,50032662,0
冲浪滑水,50032668,0
绑钩器,50500001,0
其它,50034209,0
培训拓展,50035746,0
场地门票,50100238,0
运动/瑜伽/健身/球迷用品,50010728,1
羽毛球/超级丹,50023626,0
篮球/NBA,50029563,0
足球,50038568,0
乒乓球,50029115,0
网球,50038712,0
高尔夫,50039361,0
台球/斯诺克,50039058,0
棒球,50039712,0
